episode,sum q_values,average q_values
398,-1416.2769,-2.8325534
399,-1422.8997,-2.8457994
400,-1228.873,-2.457746
401,-1530.7255,-3.0614512
402,-975.2938,-1.9505875
403,-840.78076,-1.6815614
404,-990.16656,-1.9803331
405,-1519.574,-3.0391476
406,-1382.499,-2.764998
407,-1536.6895,-3.0733788
408,-1578.3848,-3.1567695
409,-1252.9729,-2.5059464
410,-1285.6531,-2.5713058
411,-1381.9224,-2.763845
412,-1626.6062,-3.2532117
413,-1632.504,-3.265008
414,-1300.1329,-2.600266
415,-1341.5419,-2.683084
416,-1538.5872,-3.0771742
417,-1018.447,-2.0368943
418,-1037.1042,-2.0742085
419,-1200.0422,-2.4000847
420,-947.48895,-1.894978
421,-1237.3293,-2.474659
422,-829.9354,-1.6598707
423,-1145.1139,-2.290228
424,-1175.8237,-2.3516471
425,-960.11414,-1.9202281
426,-1446.6376,-2.8932753
427,-1105.8098,-2.2116199
428,-1328.9976,-2.6579952
429,-1267.4226,-2.5348454
430,-1538.5728,-3.0771456
431,-1221.9642,-2.4439287
432,-1421.1469,-2.842294
433,-1198.6311,-2.397262
434,-1377.0398,-2.75408
435,-1315.0669,-2.6301339
436,-1267.7227,-2.5354455
437,-1014.0681,-2.0281363
438,-1244.2336,-2.4884672
439,-1386.9244,-2.7738485
440,-1347.84,-2.69568
441,-1357.024,-2.714048
442,-1315.7007,-2.6314018
443,-1061.4255,-2.1228511
444,-943.72546,-1.8874508
445,-1466.3059,-2.9326112
446,-1216.9746,-2.4339492
447,-1136.532,-2.2730641
448,-1326.2473,-2.652495
449,-981.67883,-1.9633573
450,-1095.3044,-2.1906092
451,-1025.041,-2.0500817
452,-805.0188,-1.6100377
453,-917.4325,-1.8348651
454,-1069.5957,-2.1391914
455,-1081.4951,-2.16299
456,-792.04626,-1.5840926
457,-1313.2091,-2.626418
458,-1181.7639,-2.3635273
459,-752.6595,-1.505319
460,-1047.2809,-2.0945616
461,-941.23096,-1.8824618
462,-742.0056,-1.484011
463,-920.7202,-1.8414403
464,-1334.0682,-2.6681364
465,-1036.3705,-2.072741
466,-997.28687,-1.9945736
467,-971.4418,-1.9428836
468,-730.6167,-1.4612334
469,-1040.2604,-2.0805202
470,-961.3244,-1.9226489
471,-535.8925,-1.0717851
472,-1219.4037,-2.438807
473,-928.46826,-1.8569367
474,-942.9764,-1.8859527
475,-895.3903,-1.7907808
476,-1056.175,-2.11235
477,-1163.3209,-2.3266418
478,-1172.5298,-2.3450594
479,-950.8667,-1.9017332
480,-1041.0901,-2.0821803
481,-1223.9468,-2.4478936
482,-691.5294,-1.3830587
483,-984.7959,-1.9695919
484,-1039.023,-2.0780458
485,-782.4154,-1.5648305
486,-1019.4971,-2.038994
487,-943.83374,-1.8876675
488,-805.60645,-1.6112128
489,-1173.7378,-2.3474755
490,-1004.09283,-2.0081856
491,-1088.0374,-2.176075
492,-997.6692,-1.9953383
493,-1176.1963,-2.3523927
494,-895.69116,-1.7913823
495,-998.17365,-1.9963474
496,-1123.1165,-2.2462332
497,-914.94336,-1.8298868
498,-748.7815,-1.497563
499,-983.4446,-1.9668891
500,-1046.6335,-2.0932674
501,-1227.8208,-2.4556415
502,-219.22891,-0.4384577
503,-950.78406,-1.9015682
504,-731.699,-1.4633981
505,-491.16296,-0.9823259
506,-545.2046,-1.0904092
507,-424.6892,-0.8493783
508,-837.20905,-1.6744181
509,-925.14526,-1.8502905
510,-753.5311,-1.5070622
511,-688.02686,-1.3760537
512,-499.45703,-0.99891394
513,-646.8583,-1.2937167
514,-760.46716,-1.520934
515,-791.19934,-1.5823984
516,-562.8877,-1.1257755
517,-585.86487,-1.1717297
518,-518.5476,-1.0370951
519,-614.0541,-1.2281083
520,-678.28265,-1.3565652
521,-841.92957,-1.683859
522,-587.4289,-1.1748577
523,-492.0431,-0.98408616
524,-863.5498,-1.7270998
525,-406.9709,-0.8139418
526,-558.28156,-1.1165632
527,-576.5718,-1.1531435
528,-602.3075,-1.204615
529,-514.2932,-1.0285864
530,-471.0346,-0.9420693
531,-710.9061,-1.4218122
532,-669.20905,-1.338418
533,-779.2272,-1.5584543
534,-699.0805,-1.3981612
535,-739.3182,-1.4786365
536,-569.62823,-1.1392566
537,-711.9914,-1.4239827
538,-531.2429,-1.0624858
539,-442.06824,-0.88413656
540,-617.73,-1.2354599
541,-704.5987,-1.4091976
542,-644.40515,-1.2888103
543,-736.559,-1.4731178
544,-775.03345,-1.550067
545,-737.51465,-1.4750292
546,-595.62866,-1.1912572
547,-769.90826,-1.5398165
548,-539.7833,-1.0795666
549,-503.0492,-1.0060983
550,-717.3749,-1.4347497
551,-673.4689,-1.3469375
552,-381.3159,-0.7626317
553,-723.77795,-1.4475561
554,-657.4626,-1.3149252
555,-813.4238,-1.6268476
556,-338.82718,-0.6776544
557,-673.24036,-1.3464805
558,-593.6057,-1.1872112
559,-744.7786,-1.4895574
560,-542.18677,-1.0843734
561,-607.55945,-1.2151189
562,-643.54706,-1.2870944
563,-867.67914,-1.7353582
564,-525.0694,-1.050139
565,-530.2195,-1.060439
566,-573.03955,-1.1460791
567,-534.53314,-1.0690663
568,-393.71545,-0.78743094
569,-656.14844,-1.3122966
570,-573.6322,-1.1472644
571,-453.66248,-0.9073249
572,-60.4798,-0.120959714
573,-336.32782,-0.67265564
574,-333.69897,-0.667398
575,-411.23294,-0.82246584
576,-441.29285,-0.8825857
577,-104.26353,-0.20852716
578,-99.88252,-0.19976516
579,-641.4374,-1.2828747
580,-223.66681,-0.44733357
581,-457.43146,-0.91486293
582,-485.95593,-0.97191185
583,-248.33366,-0.49666741
584,-390.0951,-0.7801902
585,-207.97328,-0.41594657
586,-265.1444,-0.5302889
587,-426.10904,-0.8522182
588,-277.17462,-0.5543491
589,-279.27014,-0.5585403
590,-89.75069,-0.17950149
591,-465.23962,-0.9304793
592,-169.60791,-0.3392159
593,-207.24078,-0.41448173
594,-326.56104,-0.65312207
595,-469.89523,-0.9397906
