step,loss value
310500,"tf.Tensor(1.4822001, shape=(), dtype=float32)"
310600,"tf.Tensor(0.056800507, shape=(), dtype=float32)"
310700,"tf.Tensor(0.30579653, shape=(), dtype=float32)"
310800,"tf.Tensor(0.010087206, shape=(), dtype=float32)"
310900,"tf.Tensor(0.005290719, shape=(), dtype=float32)"
311000,"tf.Tensor(0.0036512194, shape=(), dtype=float32)"
311100,"tf.Tensor(1.7924718, shape=(), dtype=float32)"
311200,"tf.Tensor(0.6088934, shape=(), dtype=float32)"
311300,"tf.Tensor(0.10535793, shape=(), dtype=float32)"
311400,"tf.Tensor(0.009951943, shape=(), dtype=float32)"
311500,"tf.Tensor(0.0043549608, shape=(), dtype=float32)"
311600,"tf.Tensor(0.010483666, shape=(), dtype=float32)"
311700,"tf.Tensor(0.13385376, shape=(), dtype=float32)"
311800,"tf.Tensor(0.051302236, shape=(), dtype=float32)"
311900,"tf.Tensor(0.0069674766, shape=(), dtype=float32)"
312000,"tf.Tensor(0.036488093, shape=(), dtype=float32)"
312100,"tf.Tensor(0.27897695, shape=(), dtype=float32)"
312200,"tf.Tensor(0.0070291916, shape=(), dtype=float32)"
312300,"tf.Tensor(0.12196793, shape=(), dtype=float32)"
312400,"tf.Tensor(1.086562, shape=(), dtype=float32)"
312500,"tf.Tensor(2.0218575, shape=(), dtype=float32)"
312600,"tf.Tensor(0.56019986, shape=(), dtype=float32)"
312700,"tf.Tensor(1.8475673, shape=(), dtype=float32)"
312800,"tf.Tensor(0.1803798, shape=(), dtype=float32)"
312900,"tf.Tensor(0.020401902, shape=(), dtype=float32)"
313000,"tf.Tensor(0.27925363, shape=(), dtype=float32)"
313100,"tf.Tensor(0.03646463, shape=(), dtype=float32)"
313200,"tf.Tensor(0.072490826, shape=(), dtype=float32)"
313300,"tf.Tensor(0.00803751, shape=(), dtype=float32)"
313400,"tf.Tensor(0.17570686, shape=(), dtype=float32)"
313500,"tf.Tensor(0.016321413, shape=(), dtype=float32)"
313600,"tf.Tensor(0.36983797, shape=(), dtype=float32)"
313700,"tf.Tensor(1.8086942, shape=(), dtype=float32)"
313800,"tf.Tensor(0.025355535, shape=(), dtype=float32)"
313900,"tf.Tensor(1.8858367, shape=(), dtype=float32)"
314000,"tf.Tensor(0.3092507, shape=(), dtype=float32)"
314100,"tf.Tensor(0.101412036, shape=(), dtype=float32)"
314200,"tf.Tensor(0.11742467, shape=(), dtype=float32)"
314300,"tf.Tensor(0.91542774, shape=(), dtype=float32)"
314400,"tf.Tensor(0.055737823, shape=(), dtype=float32)"
314500,"tf.Tensor(0.74919224, shape=(), dtype=float32)"
314600,"tf.Tensor(1.2288262, shape=(), dtype=float32)"
314700,"tf.Tensor(1.0226429, shape=(), dtype=float32)"
