episode,sum q_values,average q_values
99,1741.2441,3.4824946
100,1826.8887,3.6537778
101,1768.7454,3.5374906
102,1769.0698,3.538146
103,1807.8789,3.615753
104,1817.9452,3.635895
105,1809.5372,3.6190763
106,1779.756,3.5595102
107,1840.2795,3.6805606
108,1788.8851,3.5777774
109,1796.6772,3.5933566
110,1797.4573,3.5949214
111,1888.8943,3.7777872
112,1806.7314,3.613461
113,1803.091,3.6061816
114,1808.8894,3.6177793
115,1818.3749,3.6367495
116,1835.3715,3.6707456
117,1860.6992,3.7214048
118,1888.051,3.7760956
119,1921.3597,3.8427246
120,1927.2388,3.854481
121,1927.1978,3.8544009
122,1931.6404,3.8632774
